hotel_ID,property_feature
OYO 563 Mytown New York,Free Wi-Fi in all rooms!
OYO 563 Mytown New York,Internet
OYO 563 Mytown New York,Wi-Fi in public areas
OYO 563 Mytown New York,Fitness center
OYO 563 Mytown New York,Swimming pool [indoor]
OYO 563 Mytown New York,Swimming pool [outdoor]
OYO 563 Mytown New York,Anti-viral cleaning products
OYO 563 Mytown New York,Body thermometer
OYO 563 Mytown New York,Breakfast takeaway service
OYO 563 Mytown New York,Cashless payment service
OYO 563 Mytown New York,Daily disinfection in all rooms
OYO 563 Mytown New York,Daily disinfection in common areas
OYO 563 Mytown New York,Face coverings on staff
OYO 563 Mytown New York,First aid kit
OYO 563 Mytown New York,Guest rooms seal after sanitization
OYO 563 Mytown New York,Hand sanitizer
OYO 563 Mytown New York,Hot water linen and laundry washing
OYO 563 Mytown New York,Individually-wrapped food options
OYO 563 Mytown New York,Physical distancing of at least 1 meter
OYO 563 Mytown New York,Protective screens in common areas
OYO 563 Mytown New York,Room sanitization opt-out available
OYO 563 Mytown New York,Rooms sanitized between stays
OYO 563 Mytown New York,Safe dining setup
OYO 563 Mytown New York,Sanitized kitchen and tableware items
OYO 563 Mytown New York,Shared stationery removed
OYO 563 Mytown New York,Staff trained in safety protocol
OYO 563 Mytown New York,Temperature check for guests and staff
OYO 563 Mytown New York,Restaurants
OYO 563 Mytown New York,Air conditioning in public area
OYO 563 Mytown New York,Contactless check-in/out
OYO 563 Mytown New York,Daily housekeeping
OYO 563 Mytown New York,Elevator
OYO 563 Mytown New York,Food delivery
OYO 563 Mytown New York,Luggage storage
OYO 563 Mytown New York,Meeting/banquet facilities
OYO 563 Mytown New York,Smoke-free property
OYO 563 Mytown New York,Smoking area
OYO 563 Mytown New York,Family room
OYO 563 Mytown New York,CCTV in common areas
OYO 563 Mytown New York,CCTV outside property
OYO 563 Mytown New York,Fire extinguisher
OYO 563 Mytown New York,Front desk [24-hour]
OYO 563 Mytown New York,Non-smoking rooms
OYO 563 Mytown New York,Pets allowed
OYO 563 Mytown New York,Air conditioning
OYO 563 Mytown New York,Clothes rack
OYO 563 Mytown New York,Fire extinguisher
OYO 563 Mytown New York,Free bottled water
OYO 563 Mytown New York,Internet access – wireless
OYO 563 Mytown New York,Linens
OYO 563 Mytown New York,Non-smoking
OYO 563 Mytown New York,Private bathroom
OYO 563 Mytown New York,Shower
OYO 563 Mytown New York,Towels
OYO 563 Mytown New York,Trash cans
OYO 563 Mytown New York,TV [flat screen]
OYO 563 Mytown New York,Wi-Fi [free]
Seda Bonifacio Global City,Wheelchair accessible
Seda Bonifacio Global City,Free Wi-Fi in all rooms!
Seda Bonifacio Global City,Internet
Seda Bonifacio Global City,Internet services
Seda Bonifacio Global City,Wi-Fi in public areas
Seda Bonifacio Global City,Fitness center
Seda Bonifacio Global City,Garden
Seda Bonifacio Global City,Massage
Seda Bonifacio Global City,Swimming pool [outdoor]
Seda Bonifacio Global City,Ticket services
Seda Bonifacio Global City,Tours
Seda Bonifacio Global City,Anti-viral cleaning products
Seda Bonifacio Global City,Body thermometer
Seda Bonifacio Global City,Breakfast in room
Seda Bonifacio Global City,Breakfast takeaway service
Seda Bonifacio Global City,Cashless payment service
Seda Bonifacio Global City,Daily disinfection in all rooms
Seda Bonifacio Global City,Daily disinfection in common areas
Seda Bonifacio Global City,Doctor/nurse on call
Seda Bonifacio Global City,Face coverings on staff
Seda Bonifacio Global City,First aid kit
Seda Bonifacio Global City,Free face masks
Seda Bonifacio Global City,Hand sanitizer
Seda Bonifacio Global City,Hot water linen and laundry washing
Seda Bonifacio Global City,Individually-wrapped food options
Seda Bonifacio Global City,Physical distancing of at least 1 meter
Seda Bonifacio Global City,Protective screens in common areas
Seda Bonifacio Global City,Room sanitization opt-out available
Seda Bonifacio Global City,Rooms sanitized between stays
Seda Bonifacio Global City,Sanitized kitchen and tableware items
Seda Bonifacio Global City,Shared stationery removed
Seda Bonifacio Global City,Staff trained in safety protocol
Seda Bonifacio Global City,Temperature check for guests and staff
Seda Bonifacio Global City,A la carte breakfast
Seda Bonifacio Global City,Alternative meal arrangement
