userID,Rating,hotel_ID
Jessa,10.0,OYO 563 Mytown New York
Sean,10.0,OYO 563 Mytown New York
Lane,10.0,OYO 563 Mytown New York
Cristina,10.0,OYO 563 Mytown New York
Tracy,10.0,OYO 563 Mytown New York
Michelle,10.0,OYO 563 Mytown New York
Michelle,10.0,OYO 563 Mytown New York
Michelle,10.0,OYO 563 Mytown New York
Charris,10.0,OYO 563 Mytown New York
Joshua,10.0,OYO 563 Mytown New York
JACKLYN,10.0,OYO 563 Mytown New York
Dennis,9.2,OYO 563 Mytown New York
Sharon,10.0,OYO 563 Mytown New York
Rodgemae,10.0,OYO 563 Mytown New York
Deesiree,10.0,OYO 563 Mytown New York
Gayle,10.0,OYO 563 Mytown New York
Rocky,10.0,OYO 563 Mytown New York
Niellaurence,10.0,OYO 563 Mytown New York
Jonathan,9.6,OYO 563 Mytown New York
Vanessa,10.0,OYO 563 Mytown New York
Maria,10.0,Seda Bonifacio Global City
Andrea,10.0,Seda Bonifacio Global City
Federico,10.0,Seda Bonifacio Global City
Kenneth,10.0,Seda Bonifacio Global City
Jhon,10.0,Seda Bonifacio Global City
David,10.0,Seda Bonifacio Global City
Sheena,10.0,Seda Bonifacio Global City
Joseph,10.0,Seda Bonifacio Global City
Michelle,10.0,Seda Bonifacio Global City
Ridson,10.0,Seda Bonifacio Global City
William,10.0,Seda Bonifacio Global City
Mark,10.0,Seda Bonifacio Global City
Reena,10.0,Seda Bonifacio Global City
Kelly,10.0,Seda Bonifacio Global City
Aimee,10.0,Seda Bonifacio Global City
Edison,10.0,Seda Bonifacio Global City
Ellaiza,10.0,Seda Bonifacio Global City
Ritchie,10.0,Seda Bonifacio Global City
Valerie,10.0,Seda Bonifacio Global City
Marie,10.0,Seda Bonifacio Global City
Sandip,10.0,F1 Hotel Manila
Duane,10.0,F1 Hotel Manila
Peter,10.0,F1 Hotel Manila
Ma.,10.0,F1 Hotel Manila
Lyra,10.0,F1 Hotel Manila
Desiree,9.6,F1 Hotel Manila
IRENE,10.0,F1 Hotel Manila
Airees,10.0,F1 Hotel Manila
vivien,10.0,F1 Hotel Manila
Shien,9.6,F1 Hotel Manila
SUSANA,10.0,F1 Hotel Manila
EDUARDO,10.0,F1 Hotel Manila
Michael,10.0,F1 Hotel Manila
Dyan,10.0,F1 Hotel Manila
Gabrielle,10.0,F1 Hotel Manila
Melissa,10.0,F1 Hotel Manila
Zander,10.0,F1 Hotel Manila
Annalee,10.0,F1 Hotel Manila
Maria,10.0,F1 Hotel Manila
Baby,10.0,F1 Hotel Manila
Audrey,9.6,City Park Hotel Manila
Andrea,10.0,City Park Hotel Manila
mary,10.0,City Park Hotel Manila
Jose,10.0,City Park Hotel Manila
Maygilee,10.0,City Park Hotel Manila
Keavy,10.0,City Park Hotel Manila
Julius,10.0,City Park Hotel Manila
Glendalynne,10.0,City Park Hotel Manila
shiena,10.0,City Park Hotel Manila
Patricia,10.0,City Park Hotel Manila
Jamica,10.0,City Park Hotel Manila
Ma,10.0,City Park Hotel Manila
Rodney,10.0,City Park Hotel Manila
Filmabelle,10.0,City Park Hotel Manila
Katrina,10.0,City Park Hotel Manila
Roy,10.0,City Park Hotel Manila
Eliza,10.0,City Park Hotel Manila
Tatiana,10.0,City Park Hotel Manila
Maria,10.0,City Park Hotel Manila
MOHAMMED,10.0,City Park Hotel Manila
Jeremiah,10.0,MySpace Hotel @BGC
Karmela,10.0,MySpace Hotel @BGC
Jeffrey,10.0,MySpace Hotel @BGC
Laarni,10.0,MySpace Hotel @BGC
Charlene,10.0,MySpace Hotel @BGC
Julie,10.0,MySpace Hotel @BGC
Dulce,10.0,MySpace Hotel @BGC
Juvylyn,10.0,MySpace Hotel @BGC
Paolo,10.0,MySpace Hotel @BGC
Rica,9.6,MySpace Hotel @BGC
Emman,10.0,MySpace Hotel @BGC
ELIZA,9.6,MySpace Hotel @BGC
Horace,10.0,MySpace Hotel @BGC
DAPHNE,9.6,MySpace Hotel @BGC
anni,9.6,MySpace Hotel @BGC
Jolina,9.2,MySpace Hotel @BGC
Adam,10.0,MySpace Hotel @BGC
Janel,10.0,MySpace Hotel @BGC
Daniel,10.0,MySpace Hotel @BGC
Siquijorian,10.0,MySpace Hotel @BGC
Darlenne,10.0,airobedz - near BGC
Bienvenido,10.0,airobedz - near BGC
Dennis,9.6,airobedz - near BGC
Moneychiwa,10.0,airobedz - near BGC
Jaino,9.6,airobedz - near BGC
Barbara,10.0,airobedz - near BGC
Sanny,10.0,airobedz - near BGC
Ella,10.0,airobedz - near BGC
Lynnel,10.0,airobedz - near BGC
Ronald,10.0,airobedz - near BGC
Jasper,9.6,airobedz - near BGC
may,10.0,airobedz - near BGC
Pinkz,10.0,airobedz - near BGC
Kevan,9.2,airobedz - near BGC
lei,10.0,airobedz - near BGC
Phillip,10.0,airobedz - near BGC
Kate,10.0,airobedz - near BGC
Pacita,10.0,airobedz - near BGC
Joanna,10.0,airobedz - near BGC
Jessica,10.0,airobedz - near BGC
Ryota,9.2,Brittany Hotel BGC
Elaine,10.0,Brittany Hotel BGC
Keiichi,9.6,Brittany Hotel BGC
ELIZABETH,9.6,Brittany Hotel BGC
LENIE,10.0,Brittany Hotel BGC
Julius,8.0,Brittany Hotel BGC
Azela,9.6,Brittany Hotel BGC
Bethel,4.8,Brittany Hotel BGC
Erlinda,10.0,Brittany Hotel BGC
Anyana,8.0,Brittany Hotel BGC
Kenneth,9.6,Brittany Hotel BGC
Rosanno,10.0,Brittany Hotel BGC
Angelica,10.0,Brittany Hotel BGC
Jorrell,8.4,Brittany Hotel BGC
Bernadeth,10.0,Brittany Hotel BGC
SAEE,10.0,Brittany Hotel BGC
Neli,7.6,Brittany Hotel BGC
CONGLIN,10.0,Brittany Hotel BGC
Jesse,8.8,Brittany Hotel BGC
Ruby,9.6,Brittany Hotel BGC
Jennie,10.0,"Shangri-La The Fort, Manila"
Ivette,10.0,"Shangri-La The Fort, Manila"
Nelson,10.0,"Shangri-La The Fort, Manila"
Marice,10.0,"Shangri-La The Fort, Manila"
Hazli,10.0,"Shangri-La The Fort, Manila"
Maria,10.0,"Shangri-La The Fort, Manila"
Christhoper,10.0,"Shangri-La The Fort, Manila"
Francesco,10.0,"Shangri-La The Fort, Manila"
Anonymous,10.0,"Shangri-La The Fort, Manila"
Maria,10.0,"Shangri-La The Fort, Manila"
Mariel,10.0,The Residences at BCCT
JOENA,10.0,The Residences at BCCT
Angelie,10.0,The Residences at BCCT
Windfield,10.0,The Residences at BCCT
Mi,10.0,The Residences at BCCT
David,8.4,The Residences at BCCT
Eric,6.8,The Residences at BCCT
fanny,4.8,The Residences at BCCT
Pablo,4.8,The Residences at BCCT
Chrislyn,4.0,The Residences at BCCT
Mary,10.0,Grand Hyatt Manila
Jain,9.6,Grand Hyatt Manila
DELMA,10.0,Grand Hyatt Manila
Heidi,10.0,Grand Hyatt Manila
kim,10.0,Grand Hyatt Manila
Jerah,10.0,Grand Hyatt Manila
Maricor,10.0,Grand Hyatt Manila
Harold,9.6,Grand Hyatt Manila
K,10.0,Grand Hyatt Manila
Eric,10.0,Grand Hyatt Manila
Kathrina,10.0,Grand Hyatt Manila
Maitanya,10.0,Grand Hyatt Manila
Rochelle,10.0,Grand Hyatt Manila
Romeliza,10.0,Grand Hyatt Manila
William,10.0,Grand Hyatt Manila
Irene,10.0,Grand Hyatt Manila
Michelle,10.0,Grand Hyatt Manila
Sarah,10.0,Grand Hyatt Manila
Genevieve,10.0,Grand Hyatt Manila
Melissa,10.0,Grand Hyatt Manila
Jessa,10.0,OYO 563 Mytown New York
Sean,10.0,OYO 563 Mytown New York
Lane,10.0,OYO 563 Mytown New York
Cristina,10.0,OYO 563 Mytown New York
Tracy,10.0,OYO 563 Mytown New York
Michelle,10.0,OYO 563 Mytown New York
Michelle,10.0,OYO 563 Mytown New York
Michelle,10.0,OYO 563 Mytown New York
Charris,10.0,OYO 563 Mytown New York
Joshua,10.0,OYO 563 Mytown New York
JACKLYN,10.0,OYO 563 Mytown New York
Dennis,9.2,OYO 563 Mytown New York
Sharon,10.0,OYO 563 Mytown New York
Rodgemae,10.0,OYO 563 Mytown New York
Deesiree,10.0,OYO 563 Mytown New York
Gayle,10.0,OYO 563 Mytown New York
Rocky,10.0,OYO 563 Mytown New York
Niellaurence,10.0,OYO 563 Mytown New York
Jonathan,9.6,OYO 563 Mytown New York
Vanessa,10.0,OYO 563 Mytown New York
Rica,10.0,RedDoorz Plus @ d'Builders Poblacion - BGC
Kurt,9.6,RedDoorz Plus @ d'Builders Poblacion - BGC
amanda,10.0,RedDoorz Plus @ d'Builders Poblacion - BGC
Melanie,9.2,RedDoorz Plus @ d'Builders Poblacion - BGC
Christian,9.6,RedDoorz Plus @ d'Builders Poblacion - BGC
Rizalina,9.2,RedDoorz Plus @ d'Builders Poblacion - BGC
Hannah,10.0,RedDoorz Plus @ d'Builders Poblacion - BGC
WYETH,9.2,RedDoorz Plus @ d'Builders Poblacion - BGC
Liezl,8.8,RedDoorz Plus @ d'Builders Poblacion - BGC
Jean-Noel,7.6,RedDoorz Plus @ d'Builders Poblacion - BGC
Billy,7.6,RedDoorz Plus @ d'Builders Poblacion - BGC
Reginaldo,7.6,RedDoorz Plus @ d'Builders Poblacion - BGC
Lhanie,6.0,RedDoorz Plus @ d'Builders Poblacion - BGC
Anne,6.0,RedDoorz Plus @ d'Builders Poblacion - BGC
Reynaldo,5.6,RedDoorz Plus @ d'Builders Poblacion - BGC
Johanna,5.2,RedDoorz Plus @ d'Builders Poblacion - BGC
Patria,5.2,RedDoorz Plus @ d'Builders Poblacion - BGC
Den,5.2,RedDoorz Plus @ d'Builders Poblacion - BGC
Erika,6.8,RedDoorz Plus @ d'Builders Poblacion - BGC
Lew,4.8,RedDoorz Plus @ d'Builders Poblacion - BGC
Jenny,10.0,airobedz McKinley
Roselle,10.0,airobedz McKinley
Alexandra,10.0,airobedz McKinley
Eunice,9.6,airobedz McKinley
Martina,10.0,airobedz McKinley
Monterrey,9.6,airobedz McKinley
Karisse,10.0,airobedz McKinley
Jona,9.6,airobedz McKinley
Genevieve,10.0,airobedz McKinley
Louie,10.0,airobedz McKinley
Jovic,10.0,airobedz McKinley
Ruth,10.0,airobedz McKinley
Erma,10.0,airobedz McKinley
Lhanie,10.0,airobedz McKinley
catherine,9.6,airobedz McKinley
Mary,10.0,airobedz McKinley
Mark,10.0,airobedz McKinley
Darcy,9.2,airobedz McKinley
Jiah,9.6,airobedz McKinley
Stephen,10.0,airobedz McKinley
Cindy,10.0,Ascott Bonifacio Global City Manila
Lea,10.0,Ascott Bonifacio Global City Manila
Meng,10.0,Ascott Bonifacio Global City Manila
Harold,9.6,Ascott Bonifacio Global City Manila
Sheryl,10.0,Ascott Bonifacio Global City Manila
Irene,10.0,Ascott Bonifacio Global City Manila
Albie,10.0,Ascott Bonifacio Global City Manila
OLIVE,10.0,Ascott Bonifacio Global City Manila
Annabelle,10.0,Ascott Bonifacio Global City Manila
Mary,10.0,Ascott Bonifacio Global City Manila
CHERISSE,10.0,Ascott Bonifacio Global City Manila
Zarah,10.0,Ascott Bonifacio Global City Manila
Marie,10.0,Ascott Bonifacio Global City Manila
Mensielito,10.0,Ascott Bonifacio Global City Manila
Eun,10.0,Ascott Bonifacio Global City Manila
Cessa,10.0,Ascott Bonifacio Global City Manila
de,10.0,Ascott Bonifacio Global City Manila
GAILEEN,10.0,Ascott Bonifacio Global City Manila
Carmel,10.0,Ascott Bonifacio Global City Manila
mary,10.0,Ascott Bonifacio Global City Manila
Maria,10.0,Seda Bonifacio Global City
Andrea,10.0,Seda Bonifacio Global City
Federico,10.0,Seda Bonifacio Global City
Kenneth,10.0,Seda Bonifacio Global City
Jhon,10.0,Seda Bonifacio Global City
David,10.0,Seda Bonifacio Global City
Sheena,10.0,Seda Bonifacio Global City
Joseph,10.0,Seda Bonifacio Global City
Michelle,10.0,Seda Bonifacio Global City
Ridson,10.0,Seda Bonifacio Global City
William,10.0,Seda Bonifacio Global City
Mark,10.0,Seda Bonifacio Global City
Reena,10.0,Seda Bonifacio Global City
Kelly,10.0,Seda Bonifacio Global City
Aimee,10.0,Seda Bonifacio Global City
Edison,10.0,Seda Bonifacio Global City
Ellaiza,10.0,Seda Bonifacio Global City
Ritchie,10.0,Seda Bonifacio Global City
Valerie,10.0,Seda Bonifacio Global City
Marie,10.0,Seda Bonifacio Global City
Anwar,9.6,RedDoorz @ DBuilders Rooms Ph1 Taguig
Hiezel,10.0,RedDoorz @ DBuilders Rooms Ph1 Taguig
karakrissa,10.0,RedDoorz @ DBuilders Rooms Ph1 Taguig
Jamie,9.6,RedDoorz @ DBuilders Rooms Ph1 Taguig
Jefferson,10.0,RedDoorz @ DBuilders Rooms Ph1 Taguig
Maria,10.0,RedDoorz @ DBuilders Rooms Ph1 Taguig
Joshua,9.2,RedDoorz @ DBuilders Rooms Ph1 Taguig
Luis,10.0,RedDoorz @ DBuilders Rooms Ph1 Taguig
Catherine,9.2,RedDoorz @ DBuilders Rooms Ph1 Taguig
Dianne,10.0,RedDoorz @ DBuilders Rooms Ph1 Taguig
CHRIS,10.0,RedDoorz @ DBuilders Rooms Ph1 Taguig
Maria,9.6,RedDoorz @ DBuilders Rooms Ph1 Taguig
Ruth,9.6,RedDoorz @ DBuilders Rooms Ph1 Taguig
Jonalyn,9.6,RedDoorz @ DBuilders Rooms Ph1 Taguig
Carol-Ann,8.4,RedDoorz @ DBuilders Rooms Ph1 Taguig
Franco,8.8,RedDoorz @ DBuilders Rooms Ph1 Taguig
Joshua,8.4,RedDoorz @ DBuilders Rooms Ph1 Taguig
Karen,8.8,RedDoorz @ DBuilders Rooms Ph1 Taguig
Criszle,8.4,RedDoorz @ DBuilders Rooms Ph1 Taguig
Pi,8.8,RedDoorz @ DBuilders Rooms Ph1 Taguig
Marielle,9.6,Espacio Hotel
Camille,10.0,Espacio Hotel
Maria,9.6,Espacio Hotel
IMELIN,10.0,Espacio Hotel
Rochel,10.0,Espacio Hotel
Christian,10.0,Espacio Hotel
Marci,10.0,Espacio Hotel
Caroline,8.8,Espacio Hotel
alfredo,9.6,Espacio Hotel
CHARLES,7.2,Espacio Hotel
Joselito,8.8,Espacio Hotel
Sheila,10.0,Espacio Hotel
Mark,4.8,Espacio Hotel
David,9.6,Espacio Hotel
rubylyn,9.2,Espacio Hotel
David,9.6,Espacio Hotel
Joan,7.2,Espacio Hotel
Mark,9.2,Espacio Hotel
wu,9.6,Espacio Hotel
lady,10.0,Espacio Hotel
Sheila,10.0,mySTAY Hotel BGC West
Jehan,10.0,mySTAY Hotel BGC West
